id,primary_level,levels,surface,reading_kana,alt_readings,meaning_ko,meaning_ko_variants,part_of_speech,entry_type,include_in_app,source_ids,source_entry_ids,source_entry_count,sections,existing_word_id,existing_level,qa_status,qa_note
w_6a5246d86b2c0f33,N3,N3,残業,ざんぎょう,,잔업,잔업,,word,1,pass_n3,pass_n3_p008_o0167,1,한자 표기,,,verified,
w_5b75b72b00bbd908,N3,N3,比較,ひかく,,비교,비교,noun,word,1,mkt_n3;pass_n3,mkt_n3_p017_o0441;pass_n3_p014_o0373,2,명사;문맥 규정,w_5b75b72b00bbd908,N3,verified,
w_2469bcc59515558e,N3,N3,気に入っている,きにいっている,,마음에 들어하다,마음에 들어하다,,word,1,pass_n3,pass_n3_p015_o0435,1,유의어,,,verified,
w_a305e8aab93ec414,N3,N3,気温,きおん,,기온,기온,noun,word,1,pass_n3,pass_n3_p007_o0140,1,한자 표기,w_a305e8aab93ec414,N3,verified,
w_1d28786c934401fb,N3,N3,氷,こおり,,얼음,얼음,noun,word,1,mkt_n3,mkt_n3_p013_o0304,1,명사,w_1d28786c934401fb,N3,verified,
w_5ac97f7fa08e9044,N3,N3,汗,あせ,,땀,땀,noun,word,1,pass_n3,pass_n3_p004_o0033,1,한자 읽기,w_5ac97f7fa08e9044,N3,verified,
w_0577bd8fb5ad5060,N3,N3,汚い,きたない,,"더럽다,지저분하다","더럽다,지저분하다;더럽다",i_adjective,word,1,mkt_n3;pass_n3,mkt_n3_p007_o0138;pass_n3_p006_o0111,2,い형용사;한자 읽기,w_0577bd8fb5ad5060,N5,verified,
w_2e8d4f6d5083dc96,N3,N3,汚れ,よごれ,,"더러움,오염","더러움,오염",noun,word,1,mkt_n3,mkt_n3_p019_o0483,1,명사,w_2e8d4f6d5083dc96,N1,verified,
w_f42a4366c467382a,N3,N3;N2,汚れる,よごれる,,더러워지다,더러워지다,verb,word,1,mkt_n2;mkt_n3;pass_n3,mkt_n2_p009_o0231;mkt_n3_p006_o0124;pass_n3_p006_o0083,3,동사;한자 읽기,w_f42a4366c467382a,N4,verified,
w_332961e3eca8d0d8,N3,N3;N2,沈む,しずむ,,가라앉다,가라앉다,verb,word,1,mkt_n2;mkt_n3;pass_n3,mkt_n2_p005_o0101;mkt_n3_p003_o0053;pass_n3_p013_o0370,3,동사;문맥 규정,w_332961e3eca8d0d8,N3,verified,
w_798fdbcd46387384,N3,N3,沸騰,ふっとう,,"비등,물이끓음","비등,물이끓음;비등",noun,word,1,mkt_n3;pass_n3,mkt_n3_p018_o0450;pass_n3_p020_o0598,2,명사;용법,w_798fdbcd46387384,N1,verified,
w_31ce4bc8f4963060,N3,N3,油,あぶら,,기름,기름,noun,word,1,mkt_n3,mkt_n3_p009_o0185,1,명사,w_31ce4bc8f4963060,N3,verified,
w_5612ea7757a9a0fa,N3,N3;N2,法律,ほうりつ,,법률,법률,noun,word,1,mkt_n2;mkt_n3;pass_n3,mkt_n2_p016_o0434;mkt_n3_p018_o0461;pass_n3_p007_o0146,3,명사;한자 표기,w_5612ea7757a9a0fa,N4,verified,
w_b0bd981d3bda964c,N3,N3,泡,あわ,,거품,거품,noun,word,1,mkt_n3,mkt_n3_p009_o0186,1,명사,w_b0bd981d3bda964c,N3,verified,
w_657011c1fcdc2d05,N3,N3;N2,波,なみ,,파도,파도,noun,word,1,mkt_n2;mkt_n3;pass_n3,mkt_n2_p015_o0395;mkt_n3_p017_o0425;pass_n3_p009_o0202,3,명사;한자 표기,,,verified,
w_6f55665c44761da7,N3,N3,泣く,なく,,울다,울다,verb,word,1,mkt_n3,mkt_n3_p004_o0083,1,동사,w_6f55665c44761da7,N4,verified,
w_4bbf6c601aada981,N3,N3,注文する,ちゅうもんする,,주문하다,주문하다,,word,1,pass_n3,pass_n3_p016_o0449,1,유의어,,,verified,
w_b43bd14340d28b3a,N3,N3,活動,かつどう,,활동,활동,noun,word,1,mkt_n3;pass_n3,mkt_n3_p010_o0231;pass_n3_p019_o0562,2,명사;용법,w_b43bd14340d28b3a,N3,verified,
w_10a452f8abf1c612,N3,N3,活気,かっき,,활기,활기,noun,word,1,mkt_n3,mkt_n3_p010_o0229,1,명사,w_10a452f8abf1c612,N3,verified,
w_b98718b6acb95599,N3,N3;N2,派手だ,はでだ,,화려하다,화려하다,na_adjective,word,1,mkt_n2;mkt_n3,mkt_n2_p013_o0323;mkt_n3_p009_o0177,2,な형용사,,,verified,
w_b5029dc94f034021,N3,N3,流れる,ながれる,,흐르다,흐르다,verb,word,1,mkt_n3;pass_n3,mkt_n3_p004_o0082;pass_n3_p010_o0247,2,동사;문맥 규정,w_b5029dc94f034021,N3,verified,
w_6fd2257d6e3b42ef,N3,N3,流行,りゅうこう,,유행,유행,noun,word,1,pass_n3,pass_n3_p013_o0356,1,문맥 규정,w_6fd2257d6e3b42ef,N3,verified,
w_fb4ac5d5dc77f69f,N3,N3;N2,浅い,あさい,,얕다,얕다,i_adjective,word,1,mkt_n2;mkt_n3;pass_n3,mkt_n2_p009_o0246;mkt_n3_p006_o0128;pass_n3_p005_o0061,3,い형용사;한자 읽기,w_fb4ac5d5dc77f69f,N4,verified,
w_31d63c4d5ffb7abe,N3,N3,消える,きえる,,"꺼지다,사라지다","꺼지다,사라지다",verb,word,1,mkt_n3,mkt_n3_p003_o0037,1,동사,w_31d63c4d5ffb7abe,N5,verified,
w_46f4a926941aa00f,N3,N3,消す,けす,,"끄다,지우다","끄다,지우다;끄다, 지우다",verb,word,1,mkt_n3;pass_n3,mkt_n3_p003_o0044;pass_n3_p008_o0174,2,동사;한자 표기,w_46f4a926941aa00f,N5,verified,
w_bd045e85d104f61f,N3,N3,消費,しょうひ,,소비,소비,noun,word,1,mkt_n3;pass_n3,mkt_n3_p014_o0355;pass_n3_p020_o0596,2,명사;용법,w_bd045e85d104f61f,N3,verified,
w_1c3f02045a63bf6a,N3,N3;N2,涙,なみだ,,눈물,눈물,noun,word,1,mkt_n2;mkt_n3;pass_n3,mkt_n2_p015_o0396;mkt_n3_p017_o0426;pass_n3_p008_o0149,3,명사;한자 표기,w_1c3f02045a63bf6a,N3,verified,
w_3e7498521a3fc873,N3,N3,深い,ふかい,,깊다,깊다,i_adjective,word,1,mkt_n3;pass_n3,mkt_n3_p007_o0147;pass_n3_p004_o0030,2,い형용사;한자 읽기,w_3e7498521a3fc873,N4,verified,
