id,level,surface,reading_kana,furigana,meaning_ko,part_of_speech,card_type,example_jp,example_ko,example_jp_id,example_jp_author,example_ko_id,example_ko_author,example_license,alt_forms,disambig,source,qa_status,deprecated,tags,data_version,frequency,reading_chapter,deprecated_reason,superseded_by
w_8c2410fadd8e3d7b,N3,決行,けっこう,けっこう,결행,noun,A,晴雨にかかわらず決行する.,청우에 관계없이 결행하다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,3.450,25,,
w_032a0c62cdb473fb,N3,数式,すうしき,すうしき,수식,noun,A,数式をかっこでくくる,수식을 괄호로 묶다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,3.320,26,,
w_8141a07617372b89,N3,大腿,だいたい,だいたい,대퇴;넓적다리,noun,A,主に大臀筋と大腿四頭筋に刺激を与えるのがランジだ。,주로 대둔근과 대퇴사두근에 자극을 주는 것이 런지다.,,NAVER 일본어사전 · 플리토,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,3.280,27,,
w_e7a6ad36430d0338,N3,刷り,すり,すり,인쇄;쇄,noun,B,刷りがきれいだ,인쇄가 곱게 됐다.,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,3.180,27,,
w_df9b224a20a0f6ad,N3,働き者,はたらきもの,はたらきもの,"부지런한 사람, 유능한 일꾼",noun,B,"彼は働き者なので,いつも朝6時に起きる",그는 부지런한 사람이라서 늘 아침 6시에 일어난다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,2.980,28,,
w_e43a3b7917307e71,N3,アルミホイル,アルミホイル,アルミホイル,가정용의 알루미늄박,noun,D,ハンバーガー屋では作ったハンバーガーをアルミホイルで包んで販売した。,햄버거 가게에서는 만든 햄버거를 은박지로 싸서 판매하였다.,,NAVER 일본어사전 · 국립국어원 한국어-일본어 학습사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,2.980,28,,
w_fa4f3be9c4d53d86,N3,卑下,ひげ,ひげ,비하;스스로를 낮춤;겸비,noun,A,そんなに卑下する必要はない,그렇게 겸비[비하]할 필요는 없다,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,2.940,29,,
w_3df7a9eea459d79b,N3,歩道橋,ほどうきょう,ほどうきょう,인도교;육교,noun,A,歩道橋を越えて行き来する.,육교를 건너다니다,,NAVER 일본어사전 · 민중서림 엣센스 한일사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,2.860,29,,
w_b067d20df32cb5bc,N3,物忘れ,ものわすれ,ものわすれ,사물을 잊음;건망;실념,noun,B,年を取るに従って、物忘れがひどくなった,나이가 들어 갈수록 건망증이 심해졌다,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,2.760,29,,
w_2f41805574cc25b6,N3,電話代,でんわだい,でんわだい,전화 요금,noun,A,電話代も馬鹿にならない,전화 요금[통신비]도 무시할 수 없다,,NAVER 일본어사전 · 민중서림 엣센스 일한사전,,,owner-confirmed-cleared,,,naver:ja-dict-jlpt-list,verified,0,"[""naver-level-backfill"",""jmdict-exact"",""ko-from-naver""]",3,5.000,3,,
